Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

           Fiducial_mark           190mm         230mm         190mm         230mm         190mm         230mm  T          0.00                
           Fiducial_mark           190mm          15mm         190mm          15mm         190mm          15mm  T          0.00                
           Fiducial_mark            -5mm          15mm          -5mm          15mm          -5mm          15mm  T          0.00                
L2         WE-TPC-6823-X          39.7mm        26.3mm        39.7mm        26.3mm        39.7mm      23.125mm  B         90.00 22uH - WE 744062220
R1         0603_[1608]             105mm       101.7mm         105mm    101.7002mm         105mm       102.4mm  B        270.00 100K           
R2         0603_[1608]             105mm     99.0998mm         105mm        99.1mm         105mm     99.7998mm  B        270.00 22R            
R3         0603_[1608]              99mm    102.3998mm          99mm       102.4mm          99mm    103.0998mm  B        270.00 22R            
R4         0603_[1608]            97.7mm    102.3998mm        97.7mm       102.4mm        97.7mm    103.0998mm  B        270.00 22R            
R5         0603_[1608]           113.5mm     28.2998mm       113.5mm        28.3mm       113.5mm     28.9998mm  B        270.00 22R            
R6         0603_[1608]            96.4mm    102.3998mm        96.4mm       102.4mm        96.4mm    103.0998mm  B        270.00 22R            
R7         0603_[1608]            95.1mm    102.3998mm        95.1mm       102.4mm        95.1mm    103.0998mm  B        270.00 22R            
R8         0603_[1608]           120.3mm     28.2998mm       120.3mm        28.3mm       120.3mm     28.9998mm  B        270.00 22R            
R9         0603_[1608]        124.3002mm         6.3mm       124.3mm         6.3mm    123.6002mm         6.3mm  B        360.00 56R            
R10        0603_[1608]            93.8mm    102.3998mm        93.8mm       102.4mm        93.8mm    103.0998mm  B        270.00 22R            
R11        0603_[1608]        124.3002mm         7.6mm       124.3mm         7.6mm    123.6002mm         7.6mm  B        360.00 56R            
R12        0603_[1608]           120.3mm     23.3998mm       120.3mm        23.4mm       120.3mm     24.0998mm  B        270.00 0R             
R13        0603_[1608]           113.5mm     23.4002mm       113.5mm        23.4mm       113.5mm     22.7002mm  B         90.00 1K             
R14        0603_[1608]           106.5mm      7.9002mm       106.5mm         7.9mm       106.5mm      7.2002mm  B         90.00 120R           
R15        0603_[1608]           68.25mm     19.4998mm       68.25mm        19.5mm       68.25mm     20.1998mm  B        270.00 NP             
R16        0603_[1608]           72.75mm     19.5002mm       72.75mm        19.5mm       72.75mm     18.8002mm  B         90.00 22R            
R17        0603_[1608]            95.2mm     28.3002mm        95.2mm        28.3mm        95.2mm     27.6002mm  B         90.00 22R            
R18        0603_[1608]            97.2mm     16.9998mm        97.2mm          17mm        97.2mm     17.6998mm  B        270.00 22R            
R19        0603_[1608]            96.5mm     28.3002mm        96.5mm        28.3mm        96.5mm     27.6002mm  B         90.00 NP             
R20        0603_[1608]           100.4mm     28.3002mm       100.4mm        28.3mm       100.4mm     27.6002mm  B         90.00 22R            
R21        0603_[1608]            98.6mm     16.9998mm        98.6mm          17mm        98.6mm     17.6998mm  B        270.00 22R            
R22        0603_[1608]            97.8mm     28.2998mm        97.8mm        28.3mm        97.8mm     28.9998mm  B        270.00 10K            
R23        0603_[1608]            99.1mm     28.2998mm        99.1mm        28.3mm        99.1mm     28.9998mm  B        270.00 10K            
R24        0603_[1608]           30.25mm     25.9998mm       30.25mm          26mm       30.25mm     26.6998mm  B        270.00 1R5 1%         
R25        0603_[1608]            31.7mm     25.9998mm        31.7mm          26mm        31.7mm     26.6998mm  B        270.00 6R8 1%         
R26        0603_[1608]         31.4998mm       33.25mm        31.5mm       33.25mm     32.1998mm       33.25mm  B        180.00 390K 1%        
R27        0603_[1608]         31.5002mm       31.75mm        31.5mm       31.75mm     30.8002mm       31.75mm  B        360.00 820K 1%        
R28        0603_[1608]         31.4998mm        28.8mm        31.5mm        28.8mm     32.1998mm        28.8mm  B        180.00 220K 1%        
R29        0603_[1608]             151mm     69.9998mm         151mm          70mm         151mm     70.6998mm  B        270.00 4K7            
R30        0603_[1608]           149.5mm     69.9998mm       149.5mm          70mm       149.5mm     70.6998mm  B        270.00 4K7            
R31        0603_[1608]           166.5mm     70.0002mm       166.5mm          70mm       166.5mm     69.3002mm  B         90.00 0R             
R32        0603_[1608]         60.4998mm        82.9mm        60.5mm        82.9mm     61.1998mm        82.9mm  B        180.00 NP             
R33        0603_[1608]            47.2mm     14.8002mm        47.2mm        14.8mm        47.2mm     14.1002mm  B         90.00 22R            
R34        0603_[1608]         56.4998mm        82.9mm        56.5mm        82.9mm     57.1998mm        82.9mm  B        180.00 NP             
R35        0603_[1608]         60.4998mm        84.2mm        60.5mm        84.2mm     61.1998mm        84.2mm  B        180.00 0R             
R36        0603_[1608]         60.4998mm        86.9mm        60.5mm        86.9mm     61.1998mm        86.9mm  B        180.00 NP             
R37        0603_[1608]         56.4998mm        84.2mm        56.5mm        84.2mm     57.1998mm        84.2mm  B        180.00 0R             
R38        0603_[1608]         56.4998mm        86.9mm        56.5mm        86.9mm     57.1998mm        86.9mm  B        180.00 NP             
R39        0603_[1608]              74mm     19.5002mm          74mm        19.5mm          74mm     18.8002mm  B         90.00 22R            
R40        0603_[1608]           66.75mm     19.4998mm       66.75mm        19.5mm       66.75mm     20.1998mm  B        270.00 22R            
R41        0603_[1608]           71.25mm     19.4998mm       71.25mm        19.5mm       71.25mm     20.1998mm  B        270.00 NP             
R42        0603_[1608]           69.75mm     19.4998mm       69.75mm        19.5mm       69.75mm     20.1998mm  B        270.00 22R            
U1         SOIC8                 116.9mm          26mm       116.9mm          26mm     114.995mm       28.45mm  B        270.00 SN65HVD230     
U3         SOIC16                 71.5mm        25.5mm        71.5mm        25.5mm      67.055mm       27.85mm  B        270.00 ST3232EBDR     
U4         SOIC8                  97.9mm        22.8mm        97.9mm        22.8mm      95.995mm       25.25mm  B        270.00 SN65HVD12      
